label,best,worst,mean,variance,duration
random,0.9999998,0,0.538479,0.06325432,147.852571621
random,0.9999998,0,0.5393675,0.063076526,147.837916640
random,0.9999999,0,0.53958577,0.06305709,149.65231724
random,0.9999994,0,0.5405338,0.06281522,147.836661923
random,0.96666634,0,0.5403145,0.06282325,147.578375425
random,0.97014725,0,0.5390746,0.06335017,148.912579462
random,0.9942197,0,0.5400267,0.06279152,147.345884499
random,0.98594975,0,0.5403372,0.06288739,147.472164188
random,0.9999999,0,0.5399207,0.06284117,147.921535531
random,0.97347474,0,0.5400221,0.06272965,147.961895022
random,0.97993654,0,0.5383708,0.06351617,148.491329748
ge,0.9923061,0,0.9624535,0.014173352,162.97447
ge,0.9999999,0,0.97539,0.013250787,52.078423
ge,0.9998581,0,0.96894354,0.015042588,56.951458
ge,0.999477,0,0.9807424,0.009262716,24.325516
ge,0.9996698,0.2590295,0.98607385,0.0057270317,37.441753
ge,0.99999994,0,0.9878388,0.0070010256,16.264936
ge,0.9999873,0,0.9598912,0.020410638,108.15295
ge,0.8749961,0,0.8658109,0.0040825857,222.92096
ge,0.9999876,0,0.98847854,0.0058168075,126.70741
ge,0.99978197,0.37499946,0.9817276,0.00536629,91.533936
ge,0.99985766,0,0.98999244,0.0033151053,55.84572
