evaluation,sample,fitness
default,0.27,0.25573012
default,0.34,0.3336625
default,0.40,0.39727357
default,0.46,0.46090913
default,0.53,0.5245558
default,0.59,0.588182
default,0.65,0.6518142
default,0.72,0.71545446
default,0.78,0.77909136
default,0.84,0.84272337
default,0.91,0.9063641
default,0.97,0.9716675
uniform,0.27,0.23515189
uniform,0.34,0.29616252
uniform,0.40,0.3665378
uniform,0.46,0.44455782
uniform,0.53,0.55434626
uniform,0.59,0.61096036
uniform,0.65,0.6224827
uniform,0.72,0.6901361
uniform,0.78,0.7885729
uniform,0.84,0.86432064
uniform,0.91,0.9069766
uniform,0.97,0.9729444
no-balance,0.27,0.25520813
no-balance,0.34,0.2284432
no-balance,0.40,0.262842
no-balance,0.46,0.35238203
no-balance,0.53,0.5199354
no-balance,0.59,0.64517146
no-balance,0.65,0.5740469
no-balance,0.72,0.69344896
no-balance,0.78,0.86815757
no-balance,0.84,0.88427424
no-balance,0.91,0.91403437
no-balance,0.97,0.9697293
no-branching,0.27,0.3076331
no-branching,0.34,0.38498753
no-branching,0.40,0.4768489
no-branching,0.46,0.5693676
no-branching,0.53,0.7216954
no-branching,0.59,0.57827294
no-branching,0.65,0.66981924
no-branching,0.72,0.6012338
no-branching,0.78,0.7325668
no-branching,0.84,0.83040076
no-branching,0.91,0.880072
no-branching,0.97,0.97077155
no-closeness,0.27,0.28992498
no-closeness,0.34,0.3528468
no-closeness,0.40,0.44124448
no-closeness,0.46,0.48633918
no-closeness,0.53,0.5425291
no-closeness,0.59,0.7272588
no-closeness,0.65,0.7402475
no-closeness,0.72,0.8020756
no-closeness,0.78,0.8157747
no-closeness,0.84,0.86432064
no-closeness,0.91,0.95076066
no-closeness,0.97,0.97704697
no-drop,0.27,0.123258054
no-drop,0.34,0.27774748
no-drop,0.40,0.3090843
no-drop,0.46,0.4600803
no-drop,0.53,0.5027298
no-drop,0.59,0.5763358
no-drop,0.65,0.5735806
no-drop,0.72,0.68366265
no-drop,0.78,0.77597547
no-drop,0.84,0.86432064
no-drop,0.91,0.8923819
no-drop,0.97,0.9715768
no-foliage,0.27,0.20598522
no-foliage,0.34,0.23991251
no-foliage,0.40,0.33396035
no-foliage,0.46,0.39017582
no-foliage,0.53,0.5551746
no-foliage,0.59,0.5961197
no-foliage,0.65,0.56728494
no-foliage,0.72,0.65473497
no-foliage,0.78,0.78683096
no-foliage,0.84,0.88721895
no-foliage,0.91,0.89791346
no-foliage,0.97,0.9692029
no-curvature,0.27,0.25286025
no-curvature,0.34,0.32585
no-curvature,0.40,0.4021422
